time,ID,position,vehicle_class,speed,Lane,length,width
0.0,1,180.0,Car,14.4397,1,5.0,2.0
0.1,1,181.446,Car,14.4804,1,5.0,2.0
0.2,1,182.8937,Car,14.4728,1,5.0,2.0
0.3,1,184.3359,Car,14.3725,1,5.0,2.0
0.4,1,185.7735,Car,14.3783,1,5.0,2.0
0.5,1,187.2128,Car,14.4076,1,5.0,2.0
0.6,1,188.6522,Car,14.3809,1,5.0,2.0
0.7,1,190.0901,Car,14.3767,1,5.0,2.0
0.8,1,191.5259,Car,14.339,1,5.0,2.0
0.9,1,192.9618,Car,14.3789,1,5.0,2.0
1.0,1,194.3989,Car,14.3645,1,5.0,2.0
1.1,1,195.8338,Car,14.3328,1,5.0,2.0
1.2,1,197.2682,Car,14.3552,1,5.0,2.0
1.3,1,198.7023,Car,14.3272,1,5.0,2.0
1.4,1,200.1327,Car,14.2805,1,5.0,2.0
1.5,1,201.5623,Car,14.3118,1,5.0,2.0
1.6,1,202.9913,Car,14.2681,1,5.0,2.0
1.7,1,204.4208,Car,14.3209,1,5.0,2.0
1.8,1,205.8514,Car,14.2925,1,5.0,2.0
1.9,1,207.2806,Car,14.2898,1,5.0,2.0
2.0,1,208.709,Car,14.2782,1,5.0,2.0
2.1,1,210.1399,Car,14.3405,1,5.0,2.0
2.2,1,211.5722,Car,14.3066,1,5.0,2.0
2.3,1,213.003,Car,14.3078,1,5.0,2.0
2.4,1,214.4344,Car,14.3218,1,5.0,2.0
2.5,1,215.8686,Car,14.3621,1,5.0,2.0
2.6,1,217.3054,Car,14.3731,1,5.0,2.0
2.7,1,218.7437,Car,14.3928,1,5.0,2.0
2.8,1,220.184,Car,14.4137,1,5.0,2.0
2.9,1,221.6291,Car,14.4876,1,5.0,2.0
3.0,1,223.0753,Car,14.4359,1,5.0,2.0
3.1,1,224.52,Car,14.4594,1,5.0,2.0
3.2,1,225.967,Car,14.4791,1,5.0,2.0
3.3,1,227.4185,Car,14.5526,1,5.0,2.0
3.4,1,228.8762,Car,14.6005,1,5.0,2.0
3.5,1,230.3361,Car,14.5974,1,5.0,2.0
3.6,1,231.7965,Car,14.6114,1,5.0,2.0
3.7,1,233.2595,Car,14.6491,1,5.0,2.0
3.8,1,234.7286,Car,14.7319,1,5.0,2.0
3.9,1,236.2039,Car,14.7745,1,5.0,2.0
4.0,1,237.6831,Car,14.8093,1,5.0,2.0
4.1,1,239.1643,Car,14.8147,1,5.0,2.0
4.2,1,240.6492,Car,14.8841,1,5.0,2.0
4.3,1,242.1396,Car,14.9237,1,5.0,2.0
4.4,1,243.6343,Car,14.9701,1,5.0,2.0
4.5,1,245.1345,Car,15.0333,1,5.0,2.0
4.6,1,246.639,Car,15.0575,1,5.0,2.0
4.7,1,248.1476,Car,15.1146,1,5.0,2.0
4.8,1,249.6603,Car,15.1394,1,5.0,2.0
4.9,1,251.1767,Car,15.1887,1,5.0,2.0
5.0,1,252.6982,Car,15.241,1,5.0,2.0
5.1,1,254.2213,Car,15.2196,1,5.0,2.0
5.2,1,255.7469,Car,15.2939,1,5.0,2.0
5.3,1,257.278,Car,15.3284,1,5.0,2.0
5.4,1,258.8125,Car,15.3611,1,5.0,2.0
5.5,1,260.351,Car,15.4083,1,5.0,2.0
5.6,1,261.8962,Car,15.4962,1,5.0,2.0
5.7,1,263.444,Car,15.4585,1,5.0,2.0
5.8,1,264.9941,Car,15.5448,1,5.0,2.0
5.9,1,266.5461,Car,15.4946,1,5.0,2.0
6.0,1,268.0989,Car,15.5625,1,5.0,2.0
6.1,1,269.6572,Car,15.6028,1,5.0,2.0
6.2,1,271.2193,Car,15.6387,1,5.0,2.0
6.3,1,272.7844,Car,15.6635,1,5.0,2.0
6.4,1,274.3518,Car,15.6849,1,5.0,2.0
6.5,1,275.9194,Car,15.6673,1,5.0,2.0
6.6,1,277.4867,Car,15.6783,1,5.0,2.0
6.7,1,279.0571,Car,15.73,1,5.0,2.0
6.8,1,280.629,Car,15.7085,1,5.0,2.0
6.9,1,282.1987,Car,15.6838,1,5.0,2.0
7.0,1,283.7675,Car,15.6937,1,5.0,2.0
7.1,1,285.3374,Car,15.7037,1,5.0,2.0
7.2,1,286.91,Car,15.7477,1,5.0,2.0
7.3,1,288.4842,Car,15.7367,1,5.0,2.0
7.4,1,290.0586,Car,15.7509,1,5.0,2.0
7.5,1,291.6318,Car,15.7133,1,5.0,2.0
7.6,1,293.2037,Car,15.7253,1,5.0,2.0
7.7,1,294.7766,Car,15.7321,1,5.0,2.0
7.8,1,296.348,Car,15.6955,1,5.0,2.0
7.9,1,297.9182,Car,15.7087,1,5.0,2.0
8.0,1,299.4868,Car,15.6641,1,5.0,2.0
8.1,1,301.0531,Car,15.6611,1,5.0,2.0
8.2,1,302.6185,Car,15.6477,1,5.0,2.0
8.3,1,304.1814,Car,15.6098,1,5.0,2.0
8.4,1,305.7442,Car,15.6462,1,5.0,2.0
8.5,1,307.3066,Car,15.603,1,5.0,2.0
8.6,1,308.8669,Car,15.6026,1,5.0,2.0
8.7,1,310.4271,Car,15.6017,1,5.0,2.0
8.8,1,311.9865,Car,15.5858,1,5.0,2.0
8.9,1,313.5447,Car,15.5775,1,5.0,2.0
9.0,1,315.1006,Car,15.5401,1,5.0,2.0
9.1,1,316.6534,Car,15.5162,1,5.0,2.0
9.2,1,318.2048,Car,15.5129,1,5.0,2.0
9.3,1,319.7531,Car,15.4517,1,5.0,2.0
9.4,1,321.298,Car,15.4466,1,5.0,2.0
9.5,1,322.8422,Car,15.4388,1,5.0,2.0
9.6,1,324.3861,Car,15.4379,1,5.0,2.0
9.7,1,325.9315,Car,15.4702,1,5.0,2.0
9.8,1,327.4761,Car,15.4223,1,5.0,2.0
